Sampling Point Id, Country, Air Quality Station EoI Code, Longitude, Latitude, Altitude, Air Quality Station Area, Air Quality Station Type, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.3902.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.56142.20.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.56142.20.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.56142.20.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.56142.20.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.56142.20.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.56142.20.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.64460.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.64460.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.64460.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.64460.5.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65188.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65188.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65188.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65188.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65188.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65188.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
